cost_risk_score,cost_risk_level,expenditure_pct,physical_progress_pct,expenditure_progress_gap,schedule_slippage_months,schedule_pressure_ratio,risk_reasons,risk_warnings,project_code,snapshot_date,project_category,actual_cost_overrun_pct
95,HIGH,170.12737620992675,83.5,86.62737620992675,89.0,2.78,"['Expenditure has exceeded the original approved cost.', 'Expenditure is substantially ahead of physical progress.', 'Project is significantly beyond its original schedule.', 'Elapsed project duration is more than twice the planned duration.']",[],602223,2026-05-01,Other_Power_Transmission,92.0175331586187
95,HIGH,170.97227422061997,83.8,87.17227422061997,90.0,2.8,"['Expenditure has exceeded the original approved cost.', 'Expenditure is substantially ahead of physical progress.', 'Project is significantly beyond its original schedule.', 'Elapsed project duration is more than twice the planned duration.']",[],602223,2026-06-01,Other_Power_Transmission,92.0175331586187
5,LOW,70.00103910498424,59.0,11.001039104984244,7.0,1.2121212121212122,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],606781,2025-07-01,Transmission_System,0.0
0,LOW,71.97533857504071,75.0,-3.024661424959291,8.0,1.2424242424242424,['No major cost-risk indicator was detected.'],[],606781,2025-08-01,Transmission_System,0.0
0,LOW,84.00124692598109,91.0,-6.998753074018907,9.0,1.2727272727272727,['No major cost-risk indicator was detected.'],[],606781,2025-09-01,Transmission_System,0.0
0,LOW,96.99005922898412,99.0,-2.009940771015877,10.0,1.303030303030303,['No major cost-risk indicator was detected.'],[],606781,2025-10-01,Transmission_System,0.0
75,HIGH,102.78088090575253,96.0,6.780880905752525,79.0,3.393939393939394,"['Expenditure has exceeded the original approved cost.', 'Project is significantly beyond its original schedule.', 'Elapsed project duration is more than twice the planned duration.']",['Expenditure is currently ahead of physical progress.'],607709,2025-07-01,Other_Power_Transmission,31.08134282075311
75,HIGH,103.24592620707332,96.0,7.245926207073325,80.0,3.4242424242424243,"['Expenditure has exceeded the original approved cost.', 'Project is significantly beyond its original schedule.', 'Elapsed project duration is more than twice the planned duration.']",['Expenditure is currently ahead of physical progress.'],607709,2025-08-01,Other_Power_Transmission,31.08134282075311
75,HIGH,103.60669336552326,96.0,7.606693365523256,81.0,3.4545454545454546,"['Expenditure has exceeded the original approved cost.', 'Project is significantly beyond its original schedule.', 'Elapsed project duration is more than twice the planned duration.']",['Expenditure is currently ahead of physical progress.'],607709,2025-09-01,Other_Power_Transmission,31.08134282075311
75,HIGH,104.03926179683174,96.0,8.039261796831738,82.0,3.484848484848485,"['Expenditure has exceeded the original approved cost.', 'Project is significantly beyond its original schedule.', 'Elapsed project duration is more than twice the planned duration.']",['Expenditure is currently ahead of physical progress.'],607709,2025-10-01,Other_Power_Transmission,31.08134282075311
75,HIGH,105.84818432775812,96.0,9.84818432775812,83.0,3.515151515151515,"['Expenditure has exceeded the original approved cost.', 'Project is significantly beyond its original schedule.', 'Elapsed project duration is more than twice the planned duration.']",['Expenditure is currently ahead of physical progress.'],607709,2025-11-01,Other_Power_Transmission,31.08134282075311
75,HIGH,106.47737477329775,96.0,10.477374773297754,84.0,3.5454545454545454,"['Expenditure has exceeded the original approved cost.', 'Project is significantly beyond its original schedule.', 'Elapsed project duration is more than twice the planned duration.']",['Expenditure is currently ahead of physical progress.'],607709,2025-12-01,Other_Power_Transmission,31.08134282075311
75,HIGH,107.10656521883736,96.0,11.10656521883736,85.0,3.5757575757575757,"['Expenditure has exceeded the original approved cost.', 'Project is significantly beyond its original schedule.', 'Elapsed project duration is more than twice the planned duration.']",['Expenditure is currently ahead of physical progress.'],607709,2026-01-01,Other_Power_Transmission,31.08134282075311
75,HIGH,107.73575566437697,96.0,11.735755664376967,86.0,3.606060606060606,"['Expenditure has exceeded the original approved cost.', 'Project is significantly beyond its original schedule.', 'Elapsed project duration is more than twice the planned duration.']",['Expenditure is currently ahead of physical progress.'],607709,2026-02-01,Other_Power_Transmission,31.08134282075311
75,HIGH,109.12521789827696,98.87,10.255217898276953,87.0,3.6363636363636362,"['Expenditure has exceeded the original approved cost.', 'Project is significantly beyond its original schedule.', 'Elapsed project duration is more than twice the planned duration.']",['Expenditure is currently ahead of physical progress.'],607709,2026-03-01,Other_Power_Transmission,31.08134282075311
75,HIGH,109.12521789827696,98.5,10.625217898276958,88.0,3.6666666666666665,"['Expenditure has exceeded the original approved cost.', 'Project is significantly beyond its original schedule.', 'Elapsed project duration is more than twice the planned duration.']",['Expenditure is currently ahead of physical progress.'],607709,2026-04-01,Other_Power_Transmission,31.08134282075311
75,HIGH,109.12521789827696,99.0,10.125217898276958,89.0,3.696969696969697,"['Expenditure has exceeded the original approved cost.', 'Project is significantly beyond its original schedule.', 'Elapsed project duration is more than twice the planned duration.']",['Expenditure is currently ahead of physical progress.'],607709,2026-05-01,Other_Power_Transmission,31.08134282075311
75,HIGH,109.12521789827696,99.1,10.025217898276964,90.0,3.727272727272727,"['Expenditure has exceeded the original approved cost.', 'Project is significantly beyond its original schedule.', 'Elapsed project duration is more than twice the planned duration.']",['Expenditure is currently ahead of physical progress.'],607709,2026-06-01,Other_Power_Transmission,31.08134282075311
0,LOW,90.00062869357475,99.0,-8.999371306425246,3.0,1.0789473684210527,['No major cost-risk indicator was detected.'],[],608302,2025-07-01,Transmission_System,0.0
0,LOW,90.3149754809506,99.0,-8.685024519049406,4.0,1.105263157894737,['No major cost-risk indicator was detected.'],[],608302,2025-08-01,Transmission_System,0.0
0,LOW,97.00113164843457,99.0,-1.9988683515654344,5.0,1.131578947368421,['No major cost-risk indicator was detected.'],[],608302,2025-09-01,Transmission_System,0.0
0,LOW,99.68565321262416,100.0,-0.31434678737583965,6.0,1.1578947368421053,['No major cost-risk indicator was detected.'],[],608302,2025-10-01,Transmission_System,0.0
0,LOW,86.7962828144405,91.0,-4.203717185559498,4.0,1.1666666666666667,['No major cost-risk indicator was detected.'],[],611656,2025-07-01,Transmission_System,-0.04710719027022
0,LOW,89.96702496681085,93.0,-3.032975033189146,5.0,1.2083333333333333,['No major cost-risk indicator was detected.'],[],611656,2025-08-01,Transmission_System,-0.04710719027022
5,LOW,94.68545244315018,94.0,0.6854524431501829,6.0,1.25,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],611656,2025-09-01,Transmission_System,-0.04710719027022
5,LOW,98.30328465590338,97.0,1.3032846559033828,7.0,1.2916666666666667,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],611656,2025-10-01,Transmission_System,-0.04710719027022
5,LOW,86.99995391688735,84.0,2.9999539168873497,4.0,1.1666666666666667,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],611657,2025-07-01,Transmission_System,0.0
5,LOW,91.11163102315145,84.0,7.111631023151446,5.0,1.2083333333333333,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],611657,2025-08-01,Transmission_System,0.0
5,LOW,93.54978216867129,90.0,3.5497821686712854,6.0,1.25,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],611657,2025-09-01,Transmission_System,0.0
5,LOW,96.99998936543554,93.0,3.999989365435539,7.0,1.2916666666666667,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],611657,2025-10-01,Transmission_System,0.0
5,LOW,98.66004487786203,95.0,3.6600448778620347,8.0,1.3333333333333333,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],611657,2025-11-01,Transmission_System,0.0
5,LOW,98.66004487786203,98.0,0.6600448778620347,9.0,1.375,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],611657,2025-12-01,Transmission_System,0.0
5,LOW,93.6104599240902,93.0,0.6104599240901933,10.0,1.5555555555555556,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],611659,2025-07-01,Transmission_System,-0.0195356106273702
0,LOW,94.86143670462158,95.0,-0.13856329537841816,11.0,1.6111111111111112,['No major cost-risk indicator was detected.'],[],611659,2025-08-01,Transmission_System,-0.0195356106273702
0,LOW,96.98105045769144,97.0,-0.018949542308561718,12.0,1.6666666666666667,['No major cost-risk indicator was detected.'],[],611659,2025-09-01,Transmission_System,-0.0195356106273702
5,LOW,98.9806597454789,98.0,0.9806597454789028,13.0,1.7222222222222223,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],611659,2025-10-01,Transmission_System,-0.0195356106273702
5,LOW,98.9806597454789,98.0,0.9806597454789028,14.0,1.7777777777777777,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],611659,2025-11-01,Transmission_System,-0.0195356106273702
0,LOW,92.54957126159766,95.0,-2.450428738402337,7.0,1.3333333333333333,['No major cost-risk indicator was detected.'],[],611660,2025-07-01,Substation_Grid_Equipment,0.0
0,LOW,93.55909763237104,95.0,-1.440902367628965,8.0,1.380952380952381,['No major cost-risk indicator was detected.'],[],611660,2025-08-01,Substation_Grid_Equipment,0.0
0,LOW,94.32968897071754,96.0,-1.670311029282459,9.0,1.4285714285714286,['No major cost-risk indicator was detected.'],[],611660,2025-09-01,Substation_Grid_Equipment,0.0
0,LOW,96.84005833738456,97.0,-0.15994166261543796,10.0,1.4761904761904763,['No major cost-risk indicator was detected.'],[],611660,2025-10-01,Substation_Grid_Equipment,0.0
0,LOW,24.998832593976186,46.0,-21.001167406023814,1.0,1.0526315789473684,['No major cost-risk indicator was detected.'],[],611947,2025-07-01,Transmission_System,0.0
0,LOW,42.00093392481905,51.0,-8.999066075180949,2.0,1.105263157894737,['No major cost-risk indicator was detected.'],[],611947,2025-08-01,Transmission_System,0.0
0,LOW,47.99906607518095,54.0,-6.000933924819051,3.0,1.1578947368421053,['No major cost-risk indicator was detected.'],[],611947,2025-09-01,Transmission_System,0.0
0,LOW,67.99906607518095,73.0,-5.000933924819051,4.0,1.2105263157894737,['No major cost-risk indicator was detected.'],[],611947,2025-10-01,Transmission_System,0.0
0,LOW,72.00093392481904,80.0,-7.999066075180963,5.0,1.263157894736842,['No major cost-risk indicator was detected.'],[],611947,2025-11-01,Transmission_System,0.0
0,LOW,78.00140088722857,82.0,-3.99859911277143,6.0,1.3157894736842106,['No major cost-risk indicator was detected.'],[],611947,2025-12-01,Transmission_System,0.0
0,LOW,82.00093392481904,84.0,-1.9990660751809628,7.0,1.368421052631579,['No major cost-risk indicator was detected.'],[],611947,2026-01-01,Transmission_System,0.0
0,LOW,86.99976651879524,89.0,-2.0002334812047593,8.0,1.4210526315789473,['No major cost-risk indicator was detected.'],[],611947,2026-02-01,Transmission_System,0.0
0,LOW,94.99883259397618,97.4,-2.4011674060238306,9.0,1.4736842105263157,['No major cost-risk indicator was detected.'],[],611947,2026-03-01,Transmission_System,0.0
0,LOW,96.99976651879524,98.4,-1.400233481204765,10.0,1.5263157894736843,['No major cost-risk indicator was detected.'],[],611947,2026-04-01,Transmission_System,0.0
0,LOW,66.87954477121636,79.0,-12.12045522878364,3.0,1.1666666666666667,['No major cost-risk indicator was detected.'],[],611949,2025-07-01,Transmission_System,0.0
0,LOW,69.47973853297847,83.0,-13.520261467021527,4.0,1.2222222222222223,['No major cost-risk indicator was detected.'],[],611949,2025-08-01,Transmission_System,0.0
0,LOW,74.99972160666363,85.0,-10.000278393336373,5.0,1.2777777777777777,['No major cost-risk indicator was detected.'],[],611949,2025-09-01,Transmission_System,0.0
0,LOW,79.99966592799635,89.0,-9.000334072003653,6.0,1.3333333333333333,['No major cost-risk indicator was detected.'],[],611949,2025-10-01,Transmission_System,0.0
0,LOW,87.99957684212872,92.0,-4.000423157871282,7.0,1.3888888888888888,['No major cost-risk indicator was detected.'],[],611949,2025-11-01,Transmission_System,0.0
0,LOW,90.29910580060356,94.0,-3.700894199396444,8.0,1.4444444444444444,['No major cost-risk indicator was detected.'],[],611949,2025-12-01,Transmission_System,0.0
0,LOW,93.99951002772798,96.0,-2.000489972272021,10.0,1.5555555555555556,['No major cost-risk indicator was detected.'],[],611949,2026-02-01,Transmission_System,0.0
0,LOW,95.99948775626108,98.47,-2.4705122437389235,11.0,1.6111111111111112,['No major cost-risk indicator was detected.'],[],611949,2026-03-01,Transmission_System,0.0
5,LOW,79.45985921279684,77.0,2.459859212796843,3.0,1.1578947368421053,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],611950,2025-07-01,Transmission_System,0.0
5,LOW,85.39994704502087,83.0,2.399947045020866,4.0,1.2105263157894737,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],611950,2025-08-01,Transmission_System,0.0
0,LOW,87.00000913016882,89.0,-1.99999086983118,5.0,1.263157894736842,['No major cost-risk indicator was detected.'],[],611950,2025-09-01,Transmission_System,0.0
0,LOW,88.99997260949355,91.0,-2.000027390506446,6.0,1.3157894736842106,['No major cost-risk indicator was detected.'],[],611950,2025-10-01,Transmission_System,0.0
0,LOW,91.34003487724488,96.0,-4.659965122755125,7.0,1.368421052631579,['No major cost-risk indicator was detected.'],[],611950,2025-11-01,Transmission_System,0.0
0,LOW,94.9281912222557,98.0,-3.0718087777442946,8.0,1.4210526315789473,['No major cost-risk indicator was detected.'],[],611950,2025-12-01,Transmission_System,0.0
0,LOW,97.66724186730214,99.0,-1.3327581326978617,9.0,1.4736842105263157,['No major cost-risk indicator was detected.'],[],611950,2026-01-01,Transmission_System,0.0
5,LOW,9.9995543870594,9.0,0.9995543870593995,-0.0,1.0,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],611966,2025-07-01,Transmission_System,0.0
5,LOW,10.97990285637895,10.0,0.9799028563789491,1.0,1.05,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],611966,2025-08-01,Transmission_System,0.0
0,LOW,11.496813867474712,12.0,-0.503186132525288,2.0,1.1,['No major cost-risk indicator was detected.'],[],611966,2025-09-01,Transmission_System,0.0
0,LOW,14.999331580589098,18.0,-3.0006684194109017,3.0,1.15,['No major cost-risk indicator was detected.'],[],611966,2025-10-01,Transmission_System,0.0
0,LOW,39.95365625417762,44.0,-4.0463437458223765,4.0,1.2,['No major cost-risk indicator was detected.'],[],611966,2025-11-01,Transmission_System,0.0
0,LOW,48.99959894835346,49.0,-0.0004010516465413616,5.0,1.25,['No major cost-risk indicator was detected.'],[],611966,2025-12-01,Transmission_System,0.0
0,LOW,53.99937614188316,63.0,-9.000623858116839,6.0,1.3,['No major cost-risk indicator was detected.'],[],611966,2026-01-01,Transmission_System,0.0
0,LOW,71.99768281270887,74.0,-2.0023171872911263,7.0,1.35,['No major cost-risk indicator was detected.'],[],611966,2026-02-01,Transmission_System,0.0
0,LOW,87.99518738024152,90.8,-2.8048126197584793,8.0,1.4,['No major cost-risk indicator was detected.'],[],611966,2026-03-01,Transmission_System,0.0
0,LOW,91.99679158682768,94.8,-2.803208413172314,9.0,1.45,['No major cost-risk indicator was detected.'],[],611966,2026-04-01,Transmission_System,0.0
0,LOW,95.99839579341383,99.6,-3.6016042065861598,10.0,1.5,['No major cost-risk indicator was detected.'],[],611966,2026-05-01,Transmission_System,0.0
0,LOW,100.0,100.0,0.0,11.0,1.55,['No major cost-risk indicator was detected.'],[],611966,2026-06-01,Transmission_System,0.0
0,LOW,65.68964274559738,78.0,-12.310357254402618,0.0,0.9166666666666666,['No major cost-risk indicator was detected.'],[],611967,2025-07-01,Transmission_System,0.0
0,LOW,68.94985945270643,82.0,-13.050140547293566,0.0,0.9583333333333334,['No major cost-risk indicator was detected.'],[],611967,2025-08-01,Transmission_System,0.0
0,LOW,73.99995194964322,84.0,-10.000048050356781,-0.0,1.0,['No major cost-risk indicator was detected.'],[],611967,2025-09-01,Transmission_System,0.0
0,LOW,79.99983983214408,87.0,-7.000160167855924,1.0,1.0416666666666667,['No major cost-risk indicator was detected.'],[],611967,2025-10-01,Transmission_System,0.0
0,LOW,81.99953551321785,90.0,-8.00046448678215,2.0,1.0833333333333333,['No major cost-risk indicator was detected.'],[],611967,2025-11-01,Transmission_System,0.0
0,LOW,86.29924160520224,91.0,-4.700758394797759,3.0,1.125,['No major cost-risk indicator was detected.'],[],611967,2025-12-01,Transmission_System,0.0
0,LOW,88.28932721492123,93.0,-4.710672785078771,4.0,1.1666666666666667,['No major cost-risk indicator was detected.'],[],611967,2026-01-01,Transmission_System,0.0
0,LOW,93.99931127821957,96.0,-2.0006887217804348,5.0,1.2083333333333333,['No major cost-risk indicator was detected.'],[],611967,2026-02-01,Transmission_System,0.0
0,LOW,95.9998077985729,97.52,-1.5201922014270934,6.0,1.25,['No major cost-risk indicator was detected.'],[],611967,2026-03-01,Transmission_System,0.0
0,LOW,60.9996181819875,64.0,-3.0003818180124995,0.0,0.7916666666666666,['No major cost-risk indicator was detected.'],[],612138,2025-09-01,Transmission_System,0.0
0,LOW,66.99974855886983,67.0,-0.0002514411301746122,0.0,0.8333333333333334,['No major cost-risk indicator was detected.'],[],612138,2025-10-01,Transmission_System,0.0
0,LOW,70.10970283383467,71.0,-0.8902971661653254,0.0,0.875,['No major cost-risk indicator was detected.'],[],612138,2025-11-01,Transmission_System,0.0
0,LOW,78.47989867853717,79.0,-0.5201013214628318,0.0,0.9166666666666666,['No major cost-risk indicator was detected.'],[],612138,2025-12-01,Transmission_System,0.0
5,LOW,82.38980825285665,82.0,0.3898082528566533,0.0,0.9583333333333334,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],612138,2026-01-01,Transmission_System,0.0
0,LOW,84.99967405779422,87.32,-2.32032594220577,1.0,1.0416666666666667,['No major cost-risk indicator was detected.'],[],612138,2026-03-01,Transmission_System,0.0
5,LOW,39.999786770154216,21.0,18.999786770154216,0.0,0.7916666666666666,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],612139,2025-07-01,Transmission_System,0.0
5,LOW,41.998816574355914,22.0,19.998816574355914,0.0,0.8333333333333334,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],612139,2025-08-01,Transmission_System,0.0
25,LOW,45.00002665373072,25.0,20.00002665373072,0.0,0.875,['Expenditure is substantially ahead of physical progress.'],[],612139,2025-09-01,Transmission_System,0.0
5,LOW,45.00002665373072,28.0,17.00002665373072,0.0,0.9166666666666666,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],612139,2025-10-01,Transmission_System,0.0
25,LOW,53.99992536955397,32.0,21.99992536955397,0.0,0.9583333333333334,['Expenditure is substantially ahead of physical progress.'],[],612139,2025-11-01,Transmission_System,0.0
5,LOW,56.00002132298457,38.0,18.000021322984573,-0.0,1.0,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],612139,2025-12-01,Transmission_System,0.0
5,LOW,56.99980276239266,42.0,14.999802762392662,1.0,1.0416666666666667,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],612139,2026-01-01,Transmission_System,0.0
5,LOW,57.99985073910795,50.0,7.9998507391079485,2.0,1.0833333333333333,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],612139,2026-02-01,Transmission_System,0.0
5,LOW,58.499874727465595,55.23,3.2698747274655986,3.0,1.125,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],612139,2026-03-01,Transmission_System,0.0
5,LOW,46.10696375359505,46.0,0.10696375359505339,0.0,0.8333333333333334,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],612140,2025-08-01,Transmission_System,0.0
5,LOW,50.6297176912774,50.0,0.6297176912773992,0.0,0.875,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],612140,2025-09-01,Transmission_System,0.0
0,LOW,53.08698375781739,54.0,-0.9130162421826071,0.0,0.9166666666666666,['No major cost-risk indicator was detected.'],[],612140,2025-10-01,Transmission_System,0.0
0,LOW,59.99986156247513,61.0,-1.0001384375248676,0.0,0.9583333333333334,['No major cost-risk indicator was detected.'],[],612140,2025-11-01,Transmission_System,0.0
0,LOW,63.73975129698657,68.0,-4.260248703013431,-0.0,1.0,['No major cost-risk indicator was detected.'],[],612140,2025-12-01,Transmission_System,0.0
0,LOW,70.36987045708611,72.0,-1.6301295429138918,1.0,1.0416666666666667,['No major cost-risk indicator was detected.'],[],612140,2026-01-01,Transmission_System,0.0
0,LOW,71.99997231249503,76.0,-4.000027687504968,2.0,1.0833333333333333,['No major cost-risk indicator was detected.'],[],612140,2026-02-01,Transmission_System,0.0
0,LOW,76.99998961718563,80.41,-3.410010382814363,3.0,1.125,['No major cost-risk indicator was detected.'],[],612140,2026-03-01,Transmission_System,0.0
5,LOW,0.4620311070448308,0.0,0.4620311070448308,0.0,0.5833333333333334,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],617179,2025-09-01,Transmission_System,0.0
5,LOW,0.9652333028362304,0.0,0.9652333028362304,0.0,0.625,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],617179,2025-10-01,Transmission_System,0.0
5,LOW,1.2397072278133576,1.0,0.23970722781335763,0.0,0.75,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],617179,2026-01-01,Transmission_System,0.0
5,LOW,1.5004574565416284,1.0,0.5004574565416284,0.0,0.7916666666666666,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],617179,2026-02-01,Transmission_System,0.0
5,LOW,1.5004574565416284,1.5,0.0004574565416284315,0.0,0.8333333333333334,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],617179,2026-03-01,Transmission_System,0.0
5,LOW,1.7017383348581887,1.7,0.0017383348581887503,0.0,0.875,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],617179,2026-04-01,Transmission_System,0.0
5,LOW,1.7017383348581887,1.7,0.0017383348581887503,0.0,0.9166666666666666,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],617179,2026-05-01,Transmission_System,0.0
5,LOW,1.7017383348581887,1.7,0.0017383348581887503,0.0,0.9583333333333334,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],617179,2026-06-01,Transmission_System,0.0
0,LOW,4.689629246745923,11.17,-6.480370753254077,-0.0,1.0,['No major cost-risk indicator was detected.'],[],617269,2026-06-01,Transmission_System,0.0
5,LOW,0.0782510881791949,0.0,0.0782510881791949,0.0,0.6111111111111112,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],617270,2025-10-01,Transmission_System,0.0
5,LOW,0.0782510881791949,0.0,0.0782510881791949,0.0,0.6666666666666666,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],617270,2025-11-01,Transmission_System,0.0
5,LOW,0.0978138602239937,0.0,0.0978138602239937,0.0,0.7222222222222222,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],617270,2025-12-01,Transmission_System,0.0
5,LOW,0.4988506871423681,0.0,0.4988506871423681,0.0,0.7777777777777778,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],617270,2026-01-01,Transmission_System,0.0
5,LOW,1.0001467207903358,1.0,0.0001467207903358414,0.0,0.8333333333333334,['No major cost-risk indicator was detected.'],['Expenditure is currently ahead of physical progress.'],617270,2026-02-01,Transmission_System,0.0
0,LOW,1.0001467207903358,1.1,-0.09985327920966425,0.0,0.8888888888888888,['No major cost-risk indicator was detected.'],[],617270,2026-03-01,Transmission_System,0.0
0,LOW,1.4989974079327042,1.5,-0.0010025920672958044,0.0,0.9444444444444444,['No major cost-risk indicator was detected.'],[],617270,2026-04-01,Transmission_System,0.0
0,LOW,1.4989974079327042,1.5,-0.0010025920672958044,-0.0,1.0,['No major cost-risk indicator was detected.'],[],617270,2026-05-01,Transmission_System,0.0
0,LOW,1.4989974079327042,1.5,-0.0010025920672958044,1.0,1.0555555555555556,['No major cost-risk indicator was detected.'],[],617270,2026-06-01,Transmission_System,0.0
0,LOW,89.4585425430859,95.0,-5.541457456914102,0.0,0.9822485207100592,['No major cost-risk indicator was detected.'],[],617326,2025-12-01,Substation_Grid_Equipment,0.0
0,LOW,89.4585425430859,95.0,-5.541457456914102,0.0,0.9881656804733728,['No major cost-risk indicator was detected.'],[],617326,2026-01-01,Substation_Grid_Equipment,0.0
0,LOW,89.4585425430859,95.0,-5.541457456914102,0.0,0.9940828402366864,['No major cost-risk indicator was detected.'],[],617326,2026-02-01,Substation_Grid_Equipment,0.0
0,LOW,89.4585425430859,95.4,-5.941457456914108,-0.0,1.0,['No major cost-risk indicator was detected.'],[],617326,2026-03-01,Substation_Grid_Equipment,0.0
